
Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:36:45 2021
Timers Off: Fri Nov  5 10:37:22 2021

Wall Time:       36.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form C                          :     43.333u      4.800s      1.364w    100 calls

--------------------------------------------------------------------------------------
V: Grid                             :      1.500u      0.067s      0.083w      1 calls
DFH: sparsity prep                  :      0.917u      0.017s      0.560w      1 calls
| Libint2ERI::Libint2ERI            :      0.600u      0.017s      0.361w      1 calls
DFH: initialize()                   :     35.100u      2.350s      1.710w      1 calls
| Libint2ERI::Libint2ERI            :      3.883u      0.083s      0.354w     13 calls
| DFH: AO Construction              :      7.817u      0.233s      0.404w      1 calls
| DFH: AO-Met. Contraction          :     13.717u      0.883s      0.471w      1 calls
HF: Form core H                     :      1.633u      0.083s      0.085w      1 calls
HF: Form S/X                        :      0.433u      0.033s      0.014w      1 calls
HF: Guess                           :      6.983u      0.683s      0.324w      1 calls
| SAD Guess                         :      6.867u      0.650s      0.319w      1 calls
HF: Form G                          :    943.367u     73.267s     27.796w    101 calls
| RV: Form V                        :    748.200u     56.133s     19.567w    101 calls
| | Properties                      :     86.068p                         140390 calls
| | Functional                      :     20.985p                         140390 calls
| | V_xc                            :    121.486p                         140390 calls
| JK: D                             :      0.767u      0.150s      0.028w    101 calls
| JK: USO2AO                        :      5.517u      0.733s      0.201w    101 calls
| JK: JK                            :    179.317u     14.650s      7.657w    101 calls
| | DFH: compute_JK()               :    179.283u     14.650s      7.655w    101 calls
| | | DFH: Grabbing AOs             :      0.033u      0.000s      0.001w    101 calls
| | | DFH: compute_J                :     79.733u      3.300s      2.102w    101 calls
| JK: AO2USO                        :      3.533u      0.367s      0.102w    101 calls
HF: Form F                          :      0.467u      0.067s      0.023w    101 calls
HF: Form D                          :      0.533u      0.050s      0.022w    101 calls
HF: DIIS                            :     16.333u      1.750s      0.802w    100 calls
| DIISManager::add_entry            :      1.550u      0.183s      0.079w    100 calls
| DIISManager::extrapolate          :      8.650u      0.883s      0.477w    100 calls
| | bMatrix setup                   :      5.083u      0.450s      0.284w    100 calls
| | bMatrix pseudoinverse           :      0.200u      0.017s      0.009w    100 calls
| | New vector                      :      3.267u      0.367s      0.180w    100 calls
HF: Form C                          :     43.333u      4.800s      1.364w    100 calls

**************************************************************************************

Host: bc4login3.bc4.acrc.priv

Timers On : Fri Nov  5 10:43:27 2021
Timers Off: Fri Nov  5 10:44:05 2021

Wall Time:       37.35 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      1.550u      0.067s      0.084w      1 calls
DFH: sparsity prep                  :      0.917u      0.017s      0.563w      1 calls
Libint2ERI::Libint2ERI              :      4.450u      0.133s      0.716w     14 calls
DFH: initialize()                   :     34.617u      2.467s      1.685w      1 calls
DFH: AO Construction                :      7.733u      0.250s      0.401w      1 calls
DFH: AO-Met. Contraction            :     13.350u      0.933s      0.457w      1 calls
HF: Form core H                     :      1.700u      0.100s      0.087w      1 calls
HF: Form S/X                        :      0.483u      0.033s      0.015w      1 calls
HF: Guess                           :      7.017u      0.717s      0.326w      1 calls
SAD Guess                           :      6.900u      0.700s      0.321w      1 calls
HF: Form G                          :    944.267u     72.183s     27.347w    101 calls
RV: Form V                          :    753.633u     56.283s     19.359w    101 calls
Properties                          :     85.399p                         140390 calls
Functional                          :     21.109p                         140390 calls
V_xc                                :    119.970p                         140390 calls
JK: D                               :      0.683u      0.017s      0.021w    101 calls
JK: USO2AO                          :      4.767u      0.383s      0.156w    101 calls
JK: JK                              :    175.550u     13.950s      7.479w    101 calls
